Charge Code Description,Rate
SIMPLE REPAIR OF SUPER WNDS 2.5 cm or <,120.23
SIMPLE REPAIR OF SUPER WNDS 2.6 to 5.0,129.05
SIMPLE REPAIR OF SUPER WNDS 20.1 to 30.0,181.23
SIMPLE REPAIR OF SUPER WNDS 5.1 to 7.5,153.05
SIMPLE REPAIR OF SUPER WNDS 7.6 to 12.5,187.66
SIMPLE REPAIR OF SUPER WNDS Over 30.0,214.77
SIMPLE REPAIR OF SUPER WNDS 12.6 to 20.0,180.16
SIMPLE REPAIR OF SUPER WNDS  2.5 cm or <,100.24
SIMPLE REPAIR OF SUPER WNDS  2.6 to 7.5,385.7
SIMPLE REPAIR OF SUPER WNDS 20.1 to 30.0,217.62
SIMPLE REPAIR OF SUPER WNDS 7.6 to 12.5,139.85
SIMPLE REPAIR OF SUPER WNDS Over 30.0 cm,253.65
VASECTOMY UNI/BI SPX W/PO SEMEN XM,"1,300.00"
WEDGE EXCISION (IN GROWN NAIL),285
EXC TR-EXT MAL+MARG 0.5 CM/<,"1,477.79"
EXC TR-EXT MAL+MARG 0.6-1 CM,"1,011.00"
EXC TR-EXT MAL+MARG 1.1-2 CM,"1,277.24"
EXC TR-EXT MAL+MARG 2.1-3 CM,"1,684.70"
EXC TR-EXT MAL+MARG 3.1-4 CM,"1,788.51"
EXC TR-EXT MAL+MARG >4 CM,"2,710.67"
REMOVAL OF NAIL BED,"1,104.47"
INSERT MIRERA  IUD,"1,041.63"
REMOVE MIRERA IUD,92.28
TELEHEALTH FACILITY FEE,57.5
BIOPSY OF UTERUS LINING,384.3
PICC INSERTION,"1,080.00"
INJ VENOGRAM,98
INJ CHOLANGIOGRAPHY,80
MANDIBLE MINIMIUM 4 VIEWS,173.37
MASTOID MINIMIUM 3 VIEWS,154.08
FACIAL BONES < 3 VIEWS,140.7
FACIAL BONES MIN 3V COMP,211.68
NASAL BONES COMP MIN 3V,136.71
ORBIT COMP MIN 4 VIEW,132.3
SINUSES PARANASAL < 3V,88
SINUSES PARANASAL COMP MI,155.73
SKULL < 4V,88
SKULL COMPLETE MIN 4 V,154
T M JOINT OPEN/CLSD UNILA,115.49
NECK SOFT TISSUE,155
CHEST FRONTAL 1 VIEW,88
CHEST FRONTAL/LATERAL 2 V,150
CHEST LATERAL DECUBITUS B,116.7
RIBS UNILATERAL 2 VIEWS,183.75
RIBS W/CHEST MIN 3V,383
RIBS BILATERAL 3 VIEWS,132.3
RIBS W/CHEST MIN  4V,503
STERNUM MINIMIUM 2 VIEWS,102.81
SPINE CERVICAL 2 OR 3 VIE,142
SPINE CERVICAL COMP FEL/E,537.33
SPINE THORACOOLUMBAR (SCO,125.96
SPINE THORACIC 2V,121
SPINE THORACIC MIN 4V,155.73
SPINE LUMBAR 2 OR 3 VIEWS,165
LUMBAR SPINE MIN 4V,199.55
PELVIS 1 OR 2 VIEWS,135
PELVIS COMP MIN 3V,148.84
SACROILIAC JNTS 3 OR MORE,123.21
SACRUM/COCCYX MIN 2V,210
CLAVICLE COMPLETE LT,125
SCAPULA COMPLETE LT,120.73
SHOULDER 1VIEW LT,93.45
SHOULDER COMP MIN 2V LT,124
HUMERUS MIN 2V LT,115
ELBOW 2 VIEWS LT,120
FOREARM 2 VIEWS LT,120
WRIST 2 VIEWS LT,88
WRIST 3 VIEWS LT,125
HAND 2 VIEWS LT,120.61
HAND MIN  3V  LT,313.36
FINGER (S) MINIMUM 2 VIEW,88
FEMUR 2 VIEWS LT,143.6
KNEE 3 VIEWS LT,388.5
KNEE COMP 4 OR > VIEWS LT,257.99
KNEE BOTH STANDING ANTERO,88
FLUOROSCOPY UP TO 1 HOUR,512
TIB/FIB 2 V LT,105
ANKLE MIN 3 V LT,110
FOOT COMP MIN 3V LT,153
CALCANEUS MINIMUM 2 VIEWS,125
TOES MINIMIUM 2 VIEWS,114.66
FL INJ RETRO URETHROCYSTO,165.21
KUB,185
ABDOMEN ANT/ADTL(TWO VIEW,210
ABDOMEN COMPLE DECUB/EREC,210
ABD COMP ACUTE SERIES,315
ESOPHAGUS,182
CHOLANGIOGRAM OP,241.45
IVP UROGRAPHY W/WO KUB,341.25
CYSTOGRAM MINIMIUM 3 VIEW,326
VENOGRAM EXT UNI,822
SKELETAL COMPLETE AXIAL/A,696.33
BONE AND/OR JNT LIMITED A,630.36
BONE AND/OR JNT WHOLE BOD,"1,014.30"
CLAVICLE COMPLETE RT,125
CLAVICLE COMPLETE BILAT,248.62
SCAPULA COMPLETE RT,120.73
SCAPULA COMPLETE BILAT,241.46
SHOULDER 1 VIEW RT,93.45
SHOULDER 1 VIEW BILAT,186.9
SHOULDER COMP MIN 2V RT,125
SHOULDER COMPLETE MIN 2V,241.46
HUMERUS MIN 2V RT,115
HUMERUS MINIMUM 2 VIEWS B,226.02
ELBOW 2 VIEWS RT,120
ELBOW 2 VIEWS BILAT,240
FOREARM 2 VIEWS RT,120
FOREARM 2 VIEWS BILAT,202.86
WRIST 2 VIEWS BILAT,176
WRIST 3 VIEWS RT,125
WRIST 3 VIEWS BILAT,248.62
HAND 2 VIEWS RT,120.61
HAND 2 VIEWS BILAT,241.22
HAND MINIM 3 VIEWS RT,192
HAND MINIM 3 VIEWS BILAT,363.28
HIP JOINT COMP MIN 2V RT,130.37
FEMUR 2 VIEWS RT,145
FEMUR 2 VIEWS BILAT,287.2
KNEE 3 VIEWS RT,388.5
KNEE 3 VIEWS BILAT,388.5
KNEE COMP 4 OR > V RT,257.99
KNEE COMP 4 OR > V BIL,515.98
TIB/FIB 2 V RT,105
TIBIA/FIBULA 2 VIEWS BILA,210
ANKLE MIN 3 V RT,110
ANKLE MINIMUM 3 VIEWS BIL,218.84
FOOT COMP MIN 3V RT,153
FOOT COMP MIN 3V -50,306
FOOT MINIM 2 VIEWS CALC B,243.66
Bone Densitometry one or more sites,447.94
HIP JOINT COMP UNILATERAL 2-3V,130.37
HIP JOINT COMP MIN 2V BIL,100.69
RAD EXAM STRENOCLAVIC JT MIN 3V,295.3
FLUOROGUIDE FOR SPINE,542
OPTIRAY 320/ML,0.6
SHOULDER COMP MIN 2v BIL,323
AC Joint (X-RAY EXAM OF SHOULDERS),323
US POST VOIDING BLADDER,351
ISOVUE 300mg,0.75
CT HEAD/BRAIN W/O CONTRAST,"1,155.00"
CT HEAD W CONTRAST,"1,402.00"
CT HEAD W/WO CONTRAST,"1,550.00"
CT MAXILLOFACIAL W/O CONTRAST,900
CT MAXILLOFACIAL W/CONTRAST,"1,035.00"
CT MAXILLOFACIAL W/WO CONTRAST,"1,588.24"
CT NECK W/O CONTRAST,"1,110.00"
CT NECK W/CONTRAST,"1,240.00"
CT NECK W/WO CONTRAST,"1,555.00"
CT THORAX W/O CONTRAST,"1,230.00"
CT THORAX W/ CONTRAST,"1,430.00"
CT THORAX W/WO CONTRAST,"1,750.00"
"CT ANGIOGRAPHY,CHEST","2,469.56"
CT NECK SPINE W/O CONTRAST,"1,290.00"
CT NECK SPINE W/ CONTRAST,"1,490.00"
CT CHEST SPINE W/O CONTRAST,"1,290.00"
CT CHEST SPINE W/ CONTRAST,"1,475.00"
CT CHEST SPINE W/WO CONTRAST,"1,785.00"
CT LUMBAR SPINE W/O CONTRAST,"1,290.00"
CT LUMBAR SPINE W/WO CONTRAST,"1,785.00"
CT PELVIS W/O CONTRAST,"1,210.00"
CT PELVIS W/CONTRAST,"1,375.00"
CT PELVIS W/WO CONTRAST,"1,650.00"
CT UPPER EXTREM W/O CONTRAST,"1,000.00"
CT UPPER EXTREM W/CONTRAST,"1,165.00"
CT LOWER EXTREM W/O CONTRAST,920
CT LOWER EXTREM W/ CONTRAST,"1,055.00"
CT LOWER EXTREM W/WO CONTRAST,"1,290.00"
CT ABDOMEN W/O CONTRAST,"1,190.00"
CT ABDOMEN W/ CONTRAST,"1,400.00"
CT ABD/PELVIS WO/W CONTRAST,"2,174.43"
CT 3D RECONSTRUCTION,"1,045.00"
CT ABD/ PELVIS W/O CONTRAST,"1,350.00"
CT ABD/PELVIS W/CONTRAST,"1,475.00"
LDCT FOR LUNG CA SCREEN,112.49
MRI ORBIT/FACE/NECK W/ C,"1,750.00"
MRI ORBIT/FACE/NECK W/WO CONTR,"2,100.00"
MRA BRAIN W/O CONTRAST,"2,334.00"
MRA BRAIN W/ CONTRAST,"1,625.00"
MRA BRAIN W/WO CONTRAST,"1,850.00"
MRA NECK W/WO CONTRAST,"1,850.00"
MRI BRAIN W/O CONTRAST,"1,500.00"
MRI BRAIN W/ CONTRAST,"1,750.00"
MRI BRAIN W/WO CONTRAST,"2,000.00"
MRI NECK SPINE W/O CONTRAST,"1,500.00"
MRI NECK SPINE W/ CONTRAST,"1,850.00"
MRI LUMBAR SPINE W/O CONTRAST,"1,500.00"
MRI THORACIC SPINE W/WO CONTRAST,"2,300.00"
MRI C SPINE W/W/O CONTRAST,"2,300.00"
MRI LUMBAR SPINE W/WO CONTRAST,"2,100.00"
MRI PELVIS W/O CONTRAST,"1,450.00"
MRI PELVIS W/ CONTRAST,"1,550.00"
MRI PELVIS W/WO CONTRAST,"2,100.00"
MRI UPPER EXTREMITY W/O CONTRAST,"1,350.00"
MRI UPPER EXTREMITY W/WO CONTRAST,"2,100.00"
MRI JOINT UPR EXTREMITY W/O CONTRAST,"1,450.00"
MRI JOINT UPR EXTREMIITY W/ CONTRAST,"1,850.00"
MRI LOWER EXTREMITY W/O CONTRAST,"1,450.00"
MRI LOWER EXTREMITY W/ CONTRAST,"1,650.00"
MRI LOWER EXTREMITY W/WO CONTRAST,"2,100.00"
MRI JOINT LOWER EXTREMITY W/O CONTRAST,"1,450.00"
MRI ABDOMEN W/O CONTRAST,"1,675.00"
MRI ABDOMEN W/WO CONTRAST,"2,100.00"
MRI THORACIC SPINE W/O CONTRAST,"1,850.00"
GADOLINIUM PER ML,15
US SOFT TISSUE HEAD/NECK,625.4
US BREAST UNI/BIL,341.25
US ABDOMEN COMPLETE,430.5
US LTD SGL ORGAN/QUAD,632.11
US RETROPERITONEAL COMP,472.5
US RETROPERITONEAL LTD,220.5
US RETROP/ARTERY DUPLEX,985
US OB <14 WKS 1ST TRI,367.5
US EA ADDL GEST <WKS,166
US OB>14WKS 2ND TRI,367.5
US EA ADDL GEST >14WKS,425
US OB COMP W/FETAL SURV,470
US OB FOLLOWUP,168
US OB TRANSVAGINAL,252
US TRANSVAGINAL,425
US PELVIS NON OB COMP,351
US SCROTUM/CONTENTS,315
US TRANSRECTAL,420
US XTR non-vasc complete,390.15
US GUIDE NEEDLE PLCMT,375
US ECHO 2D COMPLETE,"2,030.00"
US ECHO CARDIAC LTD,588
DOP ECHO COLOR FLOW MAPPING,765
DUP SCAN EXT CRAN ART COM,588
US PHYSIO-EXT:AB INDIC,445.67
US COMPLETE LOWER EXT,671.79
LEAD  US BIL SCAN REST/EXE,604
UEAD  DUP SCAN UE COMP BL,588
UEAD DUP SCAN UE COMP UNI/LTD,483
LEVD  DUP SCAN EXT VEINS COMP B,588
LEVD  DUP SCAN EXT VEINS UNIT,728.07
DUP SCAN ART/VEN/PEL/RENAL,705.63
US DUP AORT/IFVC/ILIAC,818.89
US FETAL BIOPHYS PROFILE W/NST,315
US DUPLEX DOPPLER,994.59
US Chest incl  Medias Real Time w Image,352
CAT ORBITS SELLA IACS W/O,900
CAT ORBITS SELLA IACS W/W,"1,295.00"
CT THORAX W/O CONT,"1,230.00"
CAT THORAX W/CONT,"2,098.68"
CT THORAX W/WO CONT,"1,750.00"
CT C-SPINE W/O CONT,"1,290.00"
CAT CERVICAL SPINE W/CONT,"2,228.00"
CT C-SPINE W/WO CONT,"1,810.00"
CT T-SPINE W/O CONT,"1,290.00"
CT L/S SPINE W/O CONT,"1,290.00"
CT ABDOMEN W/WO CONT,"1,781.83"
MRI PITUITARY W/WO CONTRA,"2,100.00"
MRA CARTOIDS W/WO CONTRAS,"1,850.00"
MRI C-SPINE W/O CONT,"1,500.00"
MRI C-SPINE W/CONT,"1,850.00"
MRI T-SPINE W/O CONT,"1,450.00"
MRI L-SPINE W/O CONT,"1,500.00"
MRI L-SPINE W/W/O CONT,"2,100.00"
MRI UP EXT JOINT W/O CON,"1,450.00"
MRI LOWER EXTREM NOT JNT,"2,448.33"
MRI LWR EXT W/WO CONT,"2,100.00"
MRI LWR EXT JNT W/O CONT,"1,450.00"
OPTIRAY 320/ML,1
US RETROPERITONEAL COMP,472.5
US RETROPERITONEAL LTD,220.5
US EXTREM NON VASCULAR,535.7
LWR EXT ART SCAN REST/EXE,966.4
LWR EXT ART SCAN REST/EXE,665
DUP SCAN UE COMP UNI/LTD,483
DUP SCAN ART/VEN ABD/PEL/,690
US ECHO 2D COMPLETE W/LUMASON,"2,130.00"
US SOFT TISSUE HEAD/NECK,435
TRYPTASE LEVEL,511
UA AUTO W/MICROSCOPY,49.25
"REDUCING SUBSTANCE, STOOL",30.45
VITAMIN C LAB,110
CALCIUM IONIZED,86.36
KEPPRA,194.25
"CHROMIUM, PLASMA",250
URINE CITRATE 24 HOUR,117
CORTISOL;FREE,225
"CRYOGLOBULINS, SERUM QUAL",60.9
SERUM ESTERONE,190
GLUC-6-PHOSPHATE DEHYD QU,24
GROWTH HORMONE,150
GAD-65 INSULIN AUTOANTIBO,250
LACTATE (LACTIC ACID),30
"RSV Ab,Quant",69.75
"ROCKY MOUNTAIN SPOTTED FEVER, IGG",97.48
"ROCKY MOUNTAIN SPOTTED FEVER, IGM",142.88
"BRUCELLA AB,IGG",72
"BRUCELLA AB, IGM",72
BARTONELLA AB PROFILE,56
METHYLMALONIC ACID LEVEL,234
URINE OXALATE 24 HOUR,54
"PH,STOOL",15.8
PROTEIN ELECTROPHORETIC F,94.5
PROTEIN ELECTRO/URINE/CF,163
PROINSULIN,231
SALIAC ACID,100
"TESTOSTERONE, FREE",93.87
TESTOSTERONE TOTAL,55.08
Soy Allergy Testing,41.5
URIC ACID 24 HR URINE,50
AUTOMATED RBC COUNT,16
AUTO LEUKOCYTE COUNT,27.56
"FACTOR VIII (AGH),ONE STA",18
"PROTEIN C, ACTIVITY",175
FIBRINOGEN,112
D-DIMER (QUANTATIVE/SEMI-,157.5
"ELASTASE, STOOL",857.5
PROTHROMBIN TIME,70
"PANCREATIC ELASTASE, FECAL",980
ANA,51
COMPLEMENT C3,174.52
ANTISCLERODERMA(EX NUCLEA,68.61
NEUTROPHILIC CYTOPLASMAL,95.59
PNEUMOCOCCAL IMMUNITY,42
CD4/CD8 RATIO PROFILE,194.14
"RHEUMATOID FACTOR,QUANTIT",16.53
DBL STRAND DNA AB(FLORES,95
BORDETELLA PERTUSSIS IGG/IGM,58.1
MUMPS TITER,125
RUBELLA,41.9
GIARDIA SPECIFIC AG (EIA),88
ECOLI SHIJA TOXIN EIA,74
HERPES VIRUS-6 DIRECT PRO,357
"HIV, VIRAL LOAD",950
"B.PERTUSSIS B PARAPERTUSSIS,PCR",118
CULTURE URINE,90.34
"RUSSELL VIPER VENOM TIME,",81.8
BILIRUBIN TOTAL,10.5
VRL AUTOIMMUNE PANEL,0
T3 UPTAKE,52.5
"CATECHOLAMINE, FRACTIONATED RANDOM URINE",77.7
CELIAC PANEL,425.4
VIT D; 25 HYDROXY,126
MMR TITER,77
Vitamin E,81
BTYPE NATURETIC PEPTIDE,134.51
SODIUM SERUM (NA),56.23
LUPUS ANTICOAGULANT SCREE,460
KIDNEY STONE COMP #1,"1,800.00"
QUAD SCREEN/AFP TETRA,117.85
"PROTEIN/CREATININE,URINE",237
HEMOGLOBIN HEADSTART,28.12
LUPUS ANTICOAGULANT PANEL,903
CPK MB FRACTION ONLY,70.01
CK TROPONIN I QUANT,70.1
GGT,99.23
GTT (GLUCOSE TOLERANCE) 1,95
CALCIUM TOTAL,54.3
SGOT,66.42
GLU 2HR PP,45.02
GLUCOSE 4HR,90.04
ALT/SGPT,38.59
BUN,46.48
URIC ACID SERUM,50.99
WBC FOR STOOLS,53
ALBUMIN SERUM,45.76
PREALBUMIN LEVEL,138
BILIRUBIN TOTAL,56.23
BILIRUBIN DIRECT,70.29
ALKALINE PHOSPHATASE ISOE,113
ALKALINE PHOSPHATASE,99.23
LDH,62.3
ERYTHROPOIETIN,130.98
CHLORIDE BLOOD,46.86
CRBON DIOXIDE,43.55
DIGOXIN(RIA),117.31
LAB/CORP COLLECTION FEE,20
SODIUM URINE (NA),56.23
POTASSIUM SERUM,50.99
CBC MANUAL DIFFERENTIAL,11.03
HEMATOCRIT,26.73
HEMOGLOBIN,28.12
H-PYLORI ABS,49.34
CHOL HDL,28.12
CBC ROUTINE (RUBY),48.1
LAMICTAL LEVEL,18.64
TRICHOMONAS EXAM/PCR,145
CPK,75.02
AMYLASE,65.05
"CREATININE,SERUM",52.65
CREATININE URINE,46.86
TRIGLYCERIDE,83.79
AMIODARONE/CORDARONE LEVE,183.75
THIAMINE LEVEL,120
AMMONIA,93.71
PHOSPHORUS,31.43
PLATELET DIRECT ANTIBODY,175.3
PTT,53.19
SEDIMENTATION RATE,51
MONOTEST,48.24
PLATLET COUNT,52
RETICYLOCYTE COUNT,52.25
LITHIUM,31.25
RH TYPE,77.18
COOMBS DIRECT,45.2
COOMBS INDIRECT,60.35
NEWBORN SCREENING,41.9
STOOL C-DIFF TOXIN,25.5
PREGNANCY TEST UA,61.47
SENSITIVITY,88.29
Egg Allergy Testing,41.5
CULTURE AEROBIC,111.1
HEPATITIS A VIRUS IGM,75
ESTRIOL,60.3
"SPECIFIC GRAVITY, (BODY F",23.71
"GLUCOSE, BODY FLUIDS",38.59
CELL COUNT W/DIFF(MISC BO,42
"KETONES, SERUM",55
GTT 3 SPEC,178.88
"THYROXINE, TOTAL",57.33
CULTURE STOOL,139.16
"GENITAL CULTURE, ROUTINE",82.42
CULTURE BLOOD,81.04
CULTURE BODY FLUIDS,81.04
CULTURE SPUTUM,58.04
"UPPER RESPIRATORY CULTURE, ROUTINE",82.42
CULTURE WOUND ABSCESS LES,82.42
CULTURE URINE QUAN CC,24
GRAMS STAIN ONLY,33.63
KOH OR WET PREP,34.45
VIRAL CULTURE,79.87
CYCLOSPORINE,175
CMV BY PCR,365
PHENYTOIN TOT (DILANTIN),127.62
VENIPUNCTURE,7.72
VITAMIN K,340.5
TSH,79.65
"IMMUNOFIXATION, SERUM",124.86
PROGRAF (TACROLIMUS),210
COMPREHENSIVE METABOLIC P,166.21
BASIC METABOLIC PANEL,108.88
LIPID PROFILE,176.67
PRENATAL PROFILE,195.14
"TOBRAMYCIN, PEAK",43.52
GLUCOSE QUANT.,48.51
"CK MYOGLOBIN, Blood",55.57
GLUCOSE POST GLUCOSE 50GM,55.13
P-VAS SEMEN,84
PROTEIN TOTAL 24HR URINE,30.32
CREA CLEARANCE 24HR,53.89
INFLUENZA,85.02
DRUG SCREEN REF. CONFIRM,90.41
RAPID STREP,78.11
CHLAMYDIA DNA PROBE,159
ACUTE HEPATITIS PANEL,157
HEPATIC FUNCTION PANEL,108.88
CA 27-29,115.76
BLOOD TYPE ABO,42.45
PHLEBOTOMY PROCEDURE,66
CERULOPLASMIN,54.02
CARDIOLIPIN ANTIBODY EACH,131.25
Lobster Allergy Testing,41.5
CYSTIC FIBROSIS PROFILE,416
Ovarian Cancer Monitor One,363.6
VANCOMYCIN PEAK,101.16
DIC PROFILE,76.05
"FACTOR V, LEIDEN",372.34
HEP C GENOTYPE,562
H-PYLORI IGG ABS,81.6
PYRIDOXAL PHOSPHATE (VIT,463
CA 15-3,66.15
Tuna Allergy Testing,41.5
DHEA SULFATE,192
RENAL FUNCTION PANEL,129.55
DRVVT MIX,81.8
OSMOLALITY URINE,75
ACID FAST CONCENTRATED SM,38.59
"ACID PHOSPHATASE,TOTAL",52.92
IRON SERUM,41
IRON & TIBC,28.25
CULTURE AFB,69.46
FREE THYROXINE(FREE T4),28.25
PHENOBARBITAL LEVEL,71.66
CARBOXYHEMOG QUAN,66.15
ALDOLASE,105
ALDOSTERONE LEVEL SERUM (,207.27
MICROALBUMIN RANDOM QUANT,131
MICROALBUMIN/Creatinine Ratio,67.38
HISTOPLASMOSIS ANTIBODY,175.63
ALPHA-1 ANTITRYPSIN TOTAL,79.38
Anti-Saccharomyces AB,483
"PROTEIN S ANTIGEN, TOTAL",203.96
PROTEIN C ANTIGEN,218.3
"MYCOPLASMA PNEUMONIAEE AB, IGM",96
"FOLIC ACID,SERUM",35
GENTAMICIN PEAK,84.89
PROTEIN S (FUNCTIONAL),161
HEPATITIS B CORE ANTIBODY,76.48
BLOOD SMEAR PERIPHERAL IN,48
"MUSK, Antibody Test","3,866.63"
C-REACTIVE PROTEIN,20
CEA,66.15
"FECAL FAT/MUSCLE FIBERS, QUALITATIVE",55
CORTISOL TOTAL,128
CREATININE 24 Hr Urine,20.25
GLYCOHEMOGLOBIN (HGB A1C),38.59
LEAD LEVEL HEADSTART,66.15
CULTURE FUNGUS,83.35
HAPTOGLOBIN,73.32
CANNABINOIDS NATURAL,94.32
INSULIN LEVEL,95.37
HERPES CULTURE,155.62
LIPASE,36.94
CMV IGG,89.3
"ROTAVIRUS, STOOL",178
EBV TITER,81.08
OSMOLALITY SERUM,55.68
PSA TOTAL,115.76
GENTAMICIN TROUGH,84.89
"PROTEIN ELECTROPHORESIS, SERUM",47.7
"PROTIEN TOTAL, BODY FLUID",61.74
PROTEIN RANDOM URINE,202
MHA TREPONEMA PALLIDUM AB,110
CA 19-9,128.2
RENIN SERUM LEVEL (RIA),111.35
SALICYLATES,52.92
SEROTONIN,117.42
BETA 2 MICROBLOBULIN SERU,250
BETA 2 MICROGLOBULIN URIN,119.34
WEST NILE VIRIUS,87
SICKLE CELL SCREEN,59.71
STONE ANAYLSIS,106
CCP IGG ANTIBODIES,94.29
CD4 EMUMERATION,131.2
TRANSFERRIN,76.35
RESP SYNCYTIAL VIRUS CULT,44.1
DEPAKOTE LEVEL(VALPROIC A,130
VARICELLA ZOSTER -IGG,135
ANTI GLOMERULAR - BM AB,106.65
LYME WESTERN BLOT ICG,172.55
ANGIOTENSIN CONVERTING EN,48.96
VANCOMYCIN TROUGH,101.16
LYME TITER PANEL,133.96
ANTITHROMBIN ANTIGEN,180
ANTIBODY IDENTIFICATION,242.55
ANTI MITOCHRONDRIAL ANTIB,94.5
ANTI-SMOOTH MUSCLE ANTIBO,49.61
ANTI DNA SEND OUT,95.59
FERRITIN,130
CULTURE ANAEROBIC,81.5
CA-125,146.97
HLA B27 TITER,487.08
"IGE, SERUM",63.4
SPERM COUNT,38.26
THROMBOTIC RISK PROFILE,"3,529.37"
PARATHYRIOID HORMONE,151.04
5HIAA QUANTITATIVE,60.64
HAV (IGG),89.23
CMV-IGM,58.43
METANEPHERINES URINE 24HR,123.48
MICROALBUMIN 24HR URINE Q,114.66
"HEP B CORE ANTIBODY, TOTAL",40
HEP C ANTIBODY,30.6
HEP B SURFACE ANTIBODY,34
HEP B SURFACE ANTIGEN,34
HEP A ANTIBODY (TOTAL),40
HEP B IGM ANTIBODY,40
HEMOGLOBIN ELECTROPHORESI,132.3
ANTI-THROMBIN III ACTIVITY,158.76
MUMPS ANTIBODY IGG&IGM,185.22
TRILEPTAL (CARBAZEPINE),18.64
ANTITHYROBLOBULIN ANTIBODY,88.2
THYROID PEROXIDASE AB,45.66
T3 FREE,199.92
ELECTROLYTE GROUP,22.05
"BLOOD LEAD LEVEL,Adult",66.15
"H-PYLORI ANTIGEN, STOOL",262.5
Crab Allergy Testing,41.5
"OVA & PARASITES, DIRECT S",41
PARVO TITERS (IGM & IGG),85
"Sirolimus (Rapamune), Blood",360
PENTA SCREEN/AFP EXTRA,117.85
"CRYSTALS, BODY FLUIDS",74.45
"MYOGLOBIN, URINE",260
HOMOCYSTINE LEVEL,126.5
TOPAMAX,141.39
GASTRIN SERUM (WALLACE/WA,51.98
PROGESTERONE LEVEL,107.5
ACETAMINOPHEN,52.92
Mango Allergy Testing,41.5
Tilapia Allergy Testing,124.5
OCCULT BLOOD STOOL TEST,36.11
ASO TITER,36.38
TEGRETOL LEVEL,138.97
"CATECHOLAMINE, 24 HR URINE",126
"CATECHOLAMINES, PLASMA",195.7
CHOLESTROL TOTAL,54.3
FECAL FAT QUALITATIVE,109
CPK ISOEMZYMENS,66.49
"CHLORIDE, BF",15
DIRECT LDL,121.28
DRUG ABUSE SCREEN 1,21
PSA TOTAL SCREEN,115.76
FTA-ABS (TREPONEMAL ANTIB,30.32
VITAMIN B-12,70
"GTT,2HR",118
"VDRL, QUANT",31.97
INHIBIN A,93.5
MAGNESIUM,44.44
HEAVY METAL PROFILE SCREE,162.07
RHEUMATOID FACTOR QUAL,38.92
RUBELLA IMMUNITY TESTING,8.82
URINE SODIUM (RANDOM/24HR,27.29
URINE CHLORIDE (RANDOM/24,26.46
URINE POTASSIUM (24HR),45.2
URINE POTASSIUM (RANDOM),39.96
URINE COPPER LEVEL(RANDOM,64.05
Striationaal Antibodies,111.6
AMINOPYLLIINE (THEOPHYLLI,43.83
VMA,76.63
VDRL,53.58
ANTI-SMITH AB,120
"ACID PHOSPHATASE (RIA), PROSTATIC",52.92
"ACTH, RIA",154.08
"ALPHA FETOPROTEIN, RIA SE",150
ESTROGEN LEVEL,139.2
C-PEPTIDES,96.19
FSH,55.13
HEPATITIS B E AG,29
LUTEINIZING HORMONE (LH),34
"GONADOTROPIN, CHORIONIC (",158
PRIMIDONE MYSOLINE,70
"PROLACTIN, RIA",114.66
COMPLEMENT C4,55.08
HEPATITIS BE ANTIBODY,29
PTT LA MIX,180
NEURONTIN,124.04
ESTRADIOL,73.5
HBV(PCR)< Quant,270.81
"CALCIUM, URINE 24HR",50.39
Peach Allergy Testing,40.5
C-1 Esterase Inhibitor Functional Assay,138.6
HEMOCHROMATOSIS GENE (PCR,590.67
FACTOR VIII ANTIGEN,310
Milk Allergy Testing,41.5
MRSA Screening Culture,57.9
ACTH (Cortisol) Stimulation,133
"PROTOPORPHYRIN, RBC, QUAN",56.78
ZINC,112.5
VIT. D 1.25-DIHYDROXY,120.9
Peanuts Allergy Testing,41.5
Cystatin C,405
ZONEGRAN,18.64
"tTranglutaminase tTG, IGG",198
"t-Transglutaminase tTG, IGA",198
BRAIN NATRIURETIC PEPTIDE,173.25
RUBELLA,60
ANA TITER,19.95
TOXOPLASMA-IGG,71.66
"HSV TYPE 1 & 2 ABS, IGM",72.09
IMMUNOFIXATION ELECTROPHO,62
PSA FREE AND PSA TOTAL,72.6
"Thyroglobulin, Quant",98.38
TOXOPLASMA-IGM,42
CHLAMYDIA/GC AMPLIFICATION,186
TOTAL PROTEIN,46
COMPLEMENT,55.13
"HSB TYPE 2 AB,IGG",76.5
"Immunoglobulins A/G/M,Qn Serum",100
ENDOMYSIAL AB IGA,198
OCCULT BLOOD STOOL TEST,36.11
CULTURE BLOOD,81.04
OCCULT BLOOD STOOL TEST,36.11
Catfish Allergy Testing,41.5
"ALCOHOL, ETHAN OTH THAN B",110
MICROSOMAL ANTIBODIES,66.15
ANTIBODY SCREEN,100
GTT 6 HR,71
"STAPH AUREUS, METHICILLIN RESISTANT, NAA",270
"HSV TYPE I AB,IGG",51.96
AUTOIMMUNE PROFILE,134.1
HCV QUANT(VIRAL LOAD),300
"DRUG SCREEN PROFILE, SERUM",462.5
Lupus Anticoagulant Comprehensive,81.8
ACETYLCHOLINE RECEPTOR,"2,000.00"
U/A FOR TRICHOMONAS,42
IGE Altenaria Tenuis,40.5
IGE ASPERGILLUS FUMIGATUS,50.5
IGE ASPERGILLUS NIGER,50.5
IGE HELMINTHOSPORIUM HALODES,50.5
IGE CLADOSPORIUM,50.5
IGE D. FARINAE MITE,79.5
IGE D. PTERONYSSINUS MITE,49.5
IGE CAT HAIR/DANDER,49.5
IGE DOG EPITHELIA,49.5
IGE BERMUDA GRASS,49.5
IGE TIMOTHY,49.5
