CDM Item Number,Revenue Code,Service ID,Service Mod1,Service Mod2,Service Mod3,Service Mod4,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: Aetna (Plan: All),Payer Negotiated Charge: Aetna Better Health of IL Illinicare (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of IL (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of IL MCD Rep (Plan: All),Payer Negotiated Charge: Cigna PPO (Plan: All),Payer Negotiated Charge: Health Alliance Medical Plans (Plan: All),Payer Negotiated Charge: Healthlink Inc. HMO (Plan: All),Payer Negotiated Charge: Healthlink PPO (Plan: All),Payer Negotiated Charge: IlliniCare MCD Rep DOS prior to 120120 (Plan: All),Payer Negotiated Charge: Medicaid Illinois (Plan: All),Payer Negotiated Charge: Medicare A IL J6 (Plan: All),Payer Negotiated Charge: Medicare B IL J6 (Plan: All),Payer Negotiated Charge: Meridian Health Plan of IL (Plan: All),Payer Negotiated Charge: Molina Healthcare of IL MCD Rep (Plan: All),Payer Negotiated Charge: Multiplan Inc. for American Family (Plan: All),Payer Negotiated Charge: United Healthcare (Plan: All)
4400,250,,,,,,SODIUM BICARBONATE 650 MG PO TABS [7313],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4424,250,,,,,,ISOSORBIDE MONONITRATE ER 30 MG PO TB24 [24521],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4429,250,,,,,,LISINOPRIL 2.5 MG PO TABS [13089],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4432,636,J0696,,,,,CEFTRIAXONE SODIUM 2 GM IJ SOLR [9488],31,31,0,0.47,0,,,,,,,,,,0.45,,,,,0.47
4452,250,,,,,,VALACYCLOVIR HCL 500 MG PO TABS [13133],23.5,23.5,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4462,636,J0690,,,,,CEFAZOLIN SODIUM 1 GM IJ SOLR [1445],31,31,0.85,0.85,,,,,,,,,,,0.85,,,,,
4470,250,,,,,,LORAZEPAM 1 MG PO TABS [4573],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4471,250,,,,,,LORAZEPAM 0.5 MG PO TABS [4572],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4476,250,,,,,,PROMETHAZINE HCL 12.5 MG RE SUPP [11143],57.6,57.6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4480,636,J2060,,,,,LORAZEPAM 2 MG/ML IJ SOLN [10467],31,31,0,17.18,0,,,,,,,,,0,17.18,,,,,
4483,250,,,,,,CISATRACURIUM BESYLATE 2 MG/ML IV SOLN - SSM SO [908149],61.2,61.2,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4487,250,,,,,,TRAMADOL HCL 50 MG PO TABS [14632],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4543,250,,,,,,KETOROLAC TROMETHAMINE 0.5 % OP SOLN [19733],347.4,347.4,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4549,636,J2175,,,,,MEPERIDINE HCL 25 MG/ML IJ SOLN [4903],31,31,,,,,,,,,,,,,,,,,,
4555,250,,,,,,BUPIVACAINE HCL (PF) 0.5 % IJ SOLN [122216],31,31,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4560,250,,,,,,BUPIVACAINE HCL 0.25 % IJ SOLN [1222],39.2,39.2,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4562,250,,,,,,BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN [122218],32.8,32.8,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4574,250,,,,,,PHENYLEPHRINE HCL 0.5 % NA SOLN [6244],12.4,12.4,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
45802-056-35,,45802-056-35,,,,,GENTAMICIN SULFATE 0.1 % EX CREA [3423],160.5,160.5,,,,,,,,,,,,,,,,,,
45802-059-35,,45802-059-35,,,,,NYSTATIN 100000 UNIT/GM EX CREA [5749],56.9,56.9,,,,,,,,,,,,,,,,,,
45802-060-03,,45802-060-03,,,,,BACITRACIN 500 UNIT/GM EX OINT [850],18.4,18.4,,,,,,,,,,,,,,,,,,
45802-060-70,,45802-060-70,,,,,BACITRACIN 500 UNIT/GM EX OINT [850],6,6,,,,,,,,,,,,,,,,,,
45802-143-70,,45802-143-70,,,,,BACITRACIN-NEOMYCIN-POLYMYXIN 400-5-5000 EX OINT [854],6,6,,,,,,,,,,,,,,,,,,
45802-356-53,,45802-356-53,,,,,TROLAMINE SALICYLATE 10 % EX CREA [27680],12.5,12.5,,,,,,,,,,,,,,,,,,
45802-410-59,,45802-410-59,,,,,OXYMETAZOLINE HCL 0.05 % NA SOLN [5943],13,13,,,,,,,,,,,,,,,,,,
45802-425-78,,45802-425-78,,,,,FEXOFENADINE HCL 60 MG PO TABS [21529],6,6,,,,,,,,,,,,,,,,,,
45802-465-64,,45802-465-64,,,,,KETOCONAZOLE 2 % EX SHAM [14132],98.3,98.3,,,,,,,,,,,,,,,,,,
45802-730-00,,45802-730-00,,,,,ACETAMINOPHEN 650 MG RE SUPP [105],6,6,,,,,,,,,,,,,,,,,,
45802-730-30,,45802-730-30,,,,,ACETAMINOPHEN 650 MG RE SUPP [105],6,6,,,,,,,,,,,,,,,,,,
45802-732-00,,45802-732-00,,,,,ACETAMINOPHEN 120 MG RE SUPP [103],6,6,,,,,,,,,,,,,,,,,,
45802-732-30,,45802-732-30,,,,,ACETAMINOPHEN 120 MG RE SUPP [103],6,6,,,,,,,,,,,,,,,,,,
45802-868-02,,45802-868-02,,,,,POLYETHYLENE GLYCOL 3350 17 GM/SCOOP PO POWD [24984],29.4,29.4,,,,,,,,,,,,,,,,,,
4587,250,,,,,,BACLOFEN 10 MG PO TABS [860],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4592,250,,,,,,MUPIROCIN 2 % EX OINT [10674],81.3,81.3,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
45963-418-06,,45963-418-06,,,,,RANOLAZINE ER 500 MG PO TB12 [70434],23.2,23.2,,,,,,,,,,,,,,,,,,
4626,636,J1742,,,,,IBUTILIDE FUMARATE 1 MG/10ML IV SOLN [116624],1211.9,1211.9,,,,,,,,,,,,,,,,,,
46287-006-60,,46287-006-60,,,,,SODIUM POLYSTYRENE SULFONATE 15 GM/60ML PO SUSP [27999],71.2,71.2,,,,,,,,,,,,,,,,,,
46287-014-30,,46287-014-30,,,,,SOD CITRATE-CITRIC ACID 490-640 MG/5ML PO SOLN [11393],15.3,15.3,,,,,,,,,,,,,,,,,,
4641,250,,,,,,AMOXICILLIN-POT CLAVULANATE 875-125 MG PO TABS [33228],16.5,16.5,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4642,250,,,,,,ROPINIROLE HCL 1 MG PO TABS [21689],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4651,250,,,,,,COLLAGENASE 250 UNIT/GM EX OINT [9682],970.4,970.4,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4663,636,J1800,,,,,PROPRANOLOL HCL 1 MG/ML IV SOLN [29335],39.3,39.3,,,,,,,,,,,,,,,,,,
4668,250,,,,,,LEVOTHYROXINE SODIUM 88 MCG PO TABS [10403],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4679,636,J2790,,,,,RHO D IMMUNE GLOBULIN 1500 UNITS IM SOSY [146004],410,410,,,,,,,,,,,,,,,,,,
46876-0003-0,,46876-0003-0,,,,,MENTHOL-ZINC OXIDE 0.44-20.625 % EX OINT [106952],20.1,20.1,,,,,,,,,,,,,,,,,,
4704,250,,,,,,LITHIUM CARBONATE 300 MG PO CAPS [4529],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4750,250,,,,,,HYDROCORTISONE (PERIANAL) 2.5 % EX CREA [29371],283.9,283.9,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4752,636,J2590,,,,,OXYTOCIN 10 UNIT/ML IJ SOLN [5944],31,31,,,,,,,,,,,,,,,,,,
4767,250,,,,,,COLCHICINE 0.6 MG PO TABS [1821],36.3,36.3,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4772,250,,,,,,MIRTAZAPINE 15 MG PO TABS [17466],9.3,9.3,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
47781-297-03,,47781-297-03,,,,,NITROGLYCERIN 0.2 MG/HR TD PT24 [27472],8.5,8.5,,,,,,,,,,,,,,,,,,
47781-298-03,,47781-298-03,,,,,NITROGLYCERIN 0.4 MG/HR TD PT24 [27474],9.5,9.5,,,,,,,,,,,,,,,,,,
47781-303-01,,47781-303-01,,,,,NITROFURANTOIN MONOHYD MACRO 100 MG PO CAPS [10724],12.4,12.4,,,,,,,,,,,,,,,,,,
47781-304-03,,47781-304-03,,,,,RIVASTIGMINE 4.6 MG/24HR TD PT24 [102980],52.7,52.7,,,,,,,,,,,,,,,,,,
47781-304-11,,47781-304-11,,,,,RIVASTIGMINE 4.6 MG/24HR TD PT24 [102980],52.7,52.7,,,,,,,,,,,,,,,,,,
47781-307-01,,47781-307-01,,,,,NITROFURANTOIN MACROCRYSTAL 50 MG PO CAPS [5595],7.4,7.4,,,,,,,,,,,,,,,,,,
47781-589-22,,J2250,,,,,MIDAZOLAM HCL 5 MG/ML IJ SOLN - SSM SO [901794],31,31,,,,,,,,,,,,,,,,,,
47781-589-91,,J2250,,,,,MIDAZOLAM HCL 5 MG/ML IJ SOLN - SSM SO [901794],31,31,,,,,,,,,,,,,,,,,,
47781-616-17,,47781-616-17,,,,,ROCURONIUM BROMIDE 50 MG/5ML IV SOLN [110722],31,31,,,,,,,,,,,,,,,,,,
47781-616-20,,47781-616-20,,,,,ROCURONIUM BROMIDE 50 MG/5ML IV SOLN [110722],31,31,,,,,,,,,,,,,,,,,,
4779,636,J3490.051,,,,,SODIUM BICARBONATE 8.4 % IV SOLN [7309],54.8,54.8,,,,,,,,,,,,,,,,,,
4780,250,,,,,,DEXTROSE 50 % IV SOLN [2365],30,30,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4781,636,J2001,,,,,LIDOCAINE HCL (CARDIAC) PF 50 MG/5ML IV SOSY [164540],31,31,,,,,,,,,,,,,,,,,,
4786,636,J2360,,,,,ORPHENADRINE CITRATE 30 MG/ML IJ SOLN [5886],72.2,72.2,0,14.44,,,,,,,,,,0,14.44,,,,,
4834,250,,,,,,GLUCOSE 40 % PO GEL [82615],12.8,12.8,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
48582-00155,,48582-00155,,,,,ORAL RELIEF SPRAY MT SOLN [140499],17.5,17.5,,,,,,,,,,,,,,,,,,
4862,250,,,,,,POTASSIUM CHLORIDE CRYS ER 20 MEQ PO TBCR [35943],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4866,250,,,,,,NITROGLYCERIN 0.1 MG/HR TD PT24 [27471],6.1,6.1,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4869,250,,,,,,NITROGLYCERIN 0.2 MG/HR TD PT24 [27472],8.5,8.5,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4885,250,,,,,,FLUTICASONE PROPIONATE HFA 220 MCG/ACT IN AERO [40699],1563.6,1563.6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4889,250,,,,,,FLUTICASONE PROPIONATE HFA 110 MCG/ACT IN AERO [40698],1006.7,1006.7,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4893,250,,,,,,CEFPROZIL 125 MG/5ML PO SUSR [9470],68.5,68.5,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4898,250,,,,,,SILVER SULFADIAZINE 1 % EX CREA [7224],210.6,210.6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
49281-190-58,,90376,,,,,RABIES IMMUNE GLOBULIN 150 UNITS/ML INJ SOLN SSM SO [903236],3200,3200,,,,,,,,,,,,,,,,,,
49281-400-20,,90715,,,,,TETANUS-DIPHTH-ACELL PERTUSSIS 5-2-15.5 LF-MCG/0.5 IM SUSP [41628],186.3,186.3,,,,,,,,,,,,,,,,,,
49281-400-89,,90715,,,,,TETANUS-DIPHTH-ACELL PERTUSSIS 5-2-15.5 LF-MCG/0.5 IM SUSP [41628],186.3,186.3,,,,,,,,,,,,,,,,,,
49348-161-62,,49348-161-62,,,,,PEDIATRIC ELECTROLYTE PO SOLN [16328],9.8,9.8,,,,,,,,,,,,,,,,,,
4948,250,,,,,,MAGNESIUM OXIDE 400 MG PO TABS (SO) [908150],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
4984,250,,,,,,CEFDINIR 300 MG PO CAPS [22289],16.7,16.7,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
49884-161-11,,49884-161-11,,,,,CALCITONIN (SALMON) 200 UNIT/ACT NA SOLN [15738],385.3,385.3,,,,,,,,,,,,,,,,,,
49884-465-64,,49884-465-64,,,,,CHOLESTYRAMINE 4 G PO PACK [9588],11,11,,,,,,,,,,,,,,,,,,
49884-907-61,,49884-907-61,,,,,MEGESTROL ACETATE 40 MG/ML PO SUSP [10521],931.4,931.4,,,,,,,,,,,,,,,,,,
5005,250,,,,,,CELECOXIB 100 MG PO CAPS [24500],14.2,14.2,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
50242-041-64,,J2997,,,,,ALTEPLASE 2 MG IJ SOLR [31310],597,597,,,,,,,,,,,,,,,,,,
50242-085-27,,J2997,,,,,ALTEPLASE 1 MG/ML IV BOLUS (FOR STROKE) [901923],34321.4,34321.4,,,,,,,,,,,,,,,,,,
50268-061-11,,50268-061-11,,,,,ACYCLOVIR 400 MG PO TABS [8971],12.2,12.2,,,,,,,,,,,,,,,,,,
50268-061-15,,50268-061-15,,,,,ACYCLOVIR 400 MG PO TABS [8971],12.2,12.2,,,,,,,,,,,,,,,,,,
50268-069-11,,50268-069-11,,,,,AMANTADINE HCL 100 MG PO CAPS [364],11.4,11.4,,,,,,,,,,,,,,,,,,
50268-069-15,,50268-069-15,,,,,AMANTADINE HCL 100 MG PO CAPS [364],11.4,11.4,,,,,,,,,,,,,,,,,,
50268-111-11,,50268-111-11,,,,,BENAZEPRIL HCL 20 MG PO TABS [9221],6,6,,,,,,,,,,,,,,,,,,
50268-111-15,,50268-111-15,,,,,BENAZEPRIL HCL 20 MG PO TABS [9221],6,6,,,,,,,,,,,,,,,,,,
50268-151-11,,50268-151-11,,,,,CEPHALEXIN 250 MG PO CAPS [9499],6,6,,,,,,,,,,,,,,,,,,
50268-177-15,,50268-177-15,,,,,CILOSTAZOL 100 MG PO TABS [24474],7.4,7.4,,,,,,,,,,,,,,,,,,
50268-337-11,,50268-337-11,,,,,FLUCONAZOLE 100 MG PO TABS [10044],31,31,,,,,,,,,,,,,,,,,,
50268-337-15,,50268-337-15,,,,,FLUCONAZOLE 100 MG PO TABS [10044],31,31,,,,,,,,,,,,,,,,,,
50268-376-11,,50268-376-11,,,,,GLUCOSAMINE-CHONDROITIN MAX ST PO CAPS [30403],6,6,,,,,,,,,,,,,,,,,,
50268-376-15,,50268-376-15,,,,,GLUCOSAMINE-CHONDROITIN MAX ST PO CAPS [30403],6,6,,,,,,,,,,,,,,,,,,
50268-411-12,,50268-411-12,,,,,HYDROCORTISONE ACETATE 25 MG RE SUPP [3738],46.9,46.9,,,,,,,,,,,,,,,,,,
50268-430-11,,50268-430-11,,,,,INDOMETHACIN 25 MG PO CAPS [3897],6,6,,,,,,,,,,,,,,,,,,
50268-430-15,,50268-430-15,,,,,INDOMETHACIN 25 MG PO CAPS [3897],6,6,,,,,,,,,,,,,,,,,,
50268-525-11,,50268-525-11,,,,,MELOXICAM 7.5 MG PO TABS [20566],10.1,10.1,,,,,,,,,,,,,,,,,,
50268-525-15,,50268-525-15,,,,,MELOXICAM 7.5 MG PO TABS [20566],10.1,10.1,,,,,,,,,,,,,,,,,,
50268-594-11,,50268-594-11,,,,,NAPROXEN 250 MG PO TABS [5391],6,6,,,,,,,,,,,,,,,,,,
50268-603-11,,50268-603-11,,,,,NORTRIPTYLINE HCL 10 MG PO CAPS [5674],6,6,,,,,,,,,,,,,,,,,,
50268-603-15,,50268-603-15,,,,,NORTRIPTYLINE HCL 10 MG PO CAPS [5674],6,6,,,,,,,,,,,,,,,,,,
50268-632-11,,50268-632-11,,,,,QUETIAPINE FUMARATE 100 MG PO TABS [21824],21,21,,,,,,,,,,,,,,,,,,
50268-684-11,,Q0164,,,,,PROCHLORPERAZINE MALEATE 5 MG PO TABS [6583],6,6,,,,,,,,,,,,,,,,,,
50268-684-15,,Q0164,,,,,PROCHLORPERAZINE MALEATE 5 MG PO TABS [6583],6,6,,,,,,,,,,,,,,,,,,
50268-756-11,,50268-756-11,,,,,TORSEMIDE 20 MG PO TABS [18293],6,6,,,,,,,,,,,,,,,,,,
50268-756-15,,50268-756-15,,,,,TORSEMIDE 20 MG PO TABS [18293],6,6,,,,,,,,,,,,,,,,,,
50268-816-11,,50268-816-11,,,,,ZONISAMIDE 100 MG PO CAPS [27780],6,6,,,,,,,,,,,,,,,,,,
50268-816-15,,50268-816-15,,,,,ZONISAMIDE 100 MG PO CAPS [27780],6,6,,,,,,,,,,,,,,,,,,
50268-854-11,,50268-854-11,,,,,VITAMIN B-12 500 MCG PO TABS [8657],6,6,,,,,,,,,,,,,,,,,,
50268-854-15,,50268-854-15,,,,,VITAMIN B-12 500 MCG PO TABS [8657],6,6,,,,,,,,,,,,,,,,,,
50268-859-11,,50268-859-11,,,,,VITAMIN B-6 100 MG PO TABS [8664],6,6,,,,,,,,,,,,,,,,,,
50268-859-15,,50268-859-15,,,,,VITAMIN B-6 100 MG PO TABS [8664],6,6,,,,,,,,,,,,,,,,,,
5038,250,,,,,,LIDOCAINE HCL 2 % IJ SOLN [4454],31,31,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
50383-079-05,,50383-079-05,,,,,ACETAMINOPHEN-CODEINE 120-12 MG/5ML PO SOLN [14468],6,6,,,,,,,,,,,,,,,,,,
50383-087-10,,50383-087-10,,,,,GUAIFENESIN-CODEINE 100-10 MG/5ML PO SOLN [34463],6,6,,,,,,,,,,,,,,,,,,
50383-775-04,,50383-775-04,,,,,LIDOCAINE VISCOUS HCL 2 % MT SOLN [27898],42.9,42.9,,,,,,,,,,,,,,,,,,
50383-775-15,,50383-775-15,,,,,LIDOCAINE VISCOUS HCL 2 % MT SOLN [27898],6,6,,,,,,,,,,,,,,,,,,
50383-778-16,,50383-778-16,,,,,FERROUS SULFATE 220 (44 FE) MG/5ML PO ELIX [3069],29.3,29.3,,,,,,,,,,,,,,,,,,
50383-779-30,,50383-779-30,,,,,LACTULOSE 10 GM/15ML PO SOLN [38245],9.7,9.7,,,,,,,,,,,,,,,,,,
50383-823-16,,50383-823-16,,,,,SULFAMETHOXAZOLE-TRIMETHOPRIM 200-40 MG/5ML PO SUSP [22560],699.5,699.5,,,,,,,,,,,,,,,,,,
50458-578-30,,50458-578-30,,,,,RIVAROXABAN 15 MG PO TABS [129238],64.1,64.1,,,,,,,,,,,,,,,,,,
50458-579-30,,50458-579-30,,,,,RIVAROXABAN 20 MG PO TABS [129239],64.1,64.1,,,,,,,,,,,,,,,,,,
50484-010-30,,50484-010-30,,,,,COLLAGENASE 250 UNIT/GM EX OINT [9682],1018.7,1018.7,,,,,,,,,,,,,,,,,,
5049,636,J1815,,,,,INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN (VIAL) [17405],321.4,321.4,,,,,,,,,,,,,,,,,,
50633-120-11,,J1162,,,,,DIGOXIN IMMUNE FAB 40 MG IV SOLR [31432],15498.6,15498.6,,,,,,,,,,,,,,,,,,
5070,636,J2543,,,,,PIPERACILLIN -TAZOBACTAM 2.25 (2-0.25) G IV SOLR [18304],47.2,47.2,5.37,5.37,,,,,,,,,,,5.37,,,,,
5072,636,J2543,,,,,PIPERACILLIN -TAZOBACTAM 4.5 (4-0.5) G IV SOLR [18302],89.6,89.6,5.37,5.37,,,,,,,,,,,5.37,,,,,
50742-178-01,,50742-178-01,,,,,NADOLOL 20 MG PO TABS [5330],11.2,11.2,,,,,,,,,,,,,,,,,,
5085,636,Q2009,,,,,FOSPHENYTOIN SODIUM 50 MG PE/ML IJ SOLN - SSM SO [901785],388.2,388.2,,,,,,,,,,,,,,,,,,
5087,250,,,,,,ACETAMINOPHEN 650 MG RE SUPP [105],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
51079-072-20,,51079-072-20,,,,,FUROSEMIDE 20 MG PO TABS [3294],6,6,,,,,,,,,,,,,,,,,,
51079-073-01,,51079-073-01,,,,,FUROSEMIDE 40 MG PO TABS [3295],6,6,,,,,,,,,,,,,,,,,,
51079-073-20,,51079-073-20,,,,,FUROSEMIDE 40 MG PO TABS [3295],6,6,,,,,,,,,,,,,,,,,,
51079-131-01,,51079-131-01,,,,,AMITRIPTYLINE HCL 10 MG PO TABS [432],6,6,,,,,,,,,,,,,,,,,,
51079-131-20,,51079-131-20,,,,,AMITRIPTYLINE HCL 10 MG PO TABS [432],6,6,,,,,,,,,,,,,,,,,,
51079-205-20,,51079-205-20,,,,,ALLOPURINOL 100 MG PO TABS [310],6,6,,,,,,,,,,,,,,,,,,
51079-374-01,,51079-374-01,,,,,CHLORDIAZEPOXIDE HCL 5 MG PO CAPS [1624],6,6,,,,,,,,,,,,,,,,,,
51079-374-20,,51079-374-20,,,,,CHLORDIAZEPOXIDE HCL 5 MG PO CAPS [1624],6,6,,,,,,,,,,,,,,,,,,
51079-437-01,,51079-437-01,,,,,DOXEPIN HCL 25 MG PO CAPS [2611],6,6,,,,,,,,,,,,,,,,,,
51079-437-20,,51079-437-20,,,,,DOXEPIN HCL 25 MG PO CAPS [2611],6,6,,,,,,,,,,,,,,,,,,
51079-440-01,,51079-440-01,,,,,LEVOTHYROXINE SODIUM 50 MCG PO TABS [4421],6,6,,,,,,,,,,,,,,,,,,
51079-440-20,,51079-440-20,,,,,LEVOTHYROXINE SODIUM 50 MCG PO TABS [4421],6,6,,,,,,,,,,,,,,,,,,
51079-441-01,,51079-441-01,,,,,LEVOTHYROXINE SODIUM 75 MCG PO TABS [4422],6,6,,,,,,,,,,,,,,,,,,
51079-441-20,,51079-441-20,,,,,LEVOTHYROXINE SODIUM 75 MCG PO TABS [4422],6,6,,,,,,,,,,,,,,,,,,
51079-442-01,,51079-442-01,,,,,LEVOTHYROXINE SODIUM 100 MCG PO TABS [4423],6,6,,,,,,,,,,,,,,,,,,
51079-442-20,,51079-442-20,,,,,LEVOTHYROXINE SODIUM 100 MCG PO TABS [4423],6,6,,,,,,,,,,,,,,,,,,
51079-444-01,,51079-444-01,,,,,LEVOTHYROXINE SODIUM 25 MCG PO TABS [4420],6,6,,,,,,,,,,,,,,,,,,
51079-444-20,,51079-444-20,,,,,LEVOTHYROXINE SODIUM 25 MCG PO TABS [4420],6,6,,,,,,,,,,,,,,,,,,
51079-597-01,,J8499.088,,,,,CETIRIZINE HCL 10 MG PO TABS [9506],8.2,8.2,,,,,,,,,,,,,,,,,,
51079-597-20,,J8499.088,,,,,CETIRIZINE HCL 10 MG PO TABS [9506],8.2,8.2,,,,,,,,,,,,,,,,,,
51079-690-01,,51079-690-01,,,,,LOPERAMIDE HCL 2 MG PO CAPS [4560],6,6,,,,,,,,,,,,,,,,,,
51079-690-20,,51079-690-20,,,,,LOPERAMIDE HCL 2 MG PO CAPS [4560],6,6,,,,,,,,,,,,,,,,,,
51079-736-01,,51079-736-01,,,,,HALOPERIDOL 5 MG PO TABS [3583],6,6,,,,,,,,,,,,,,,,,,
51079-736-20,,51079-736-20,,,,,HALOPERIDOL 5 MG PO TABS [3583],6,6,,,,,,,,,,,,,,,,,,
51079-759-01,,51079-759-01,,,,,ATENOLOL 25 MG PO TABS [717],6,6,,,,,,,,,,,,,,,,,,
51079-759-20,,51079-759-20,,,,,ATENOLOL 25 MG PO TABS [717],6,6,,,,,,,,,,,,,,,,,,
51079-810-01,,51079-810-01,,,,,GLIPIZIDE 5 MG PO TABS [10117],6,6,,,,,,,,,,,,,,,,,,
51079-810-20,,51079-810-20,,,,,GLIPIZIDE 5 MG PO TABS [10117],6,6,,,,,,,,,,,,,,,,,,
51079-888-20,,51079-888-20,,,,,METOCLOPRAMIDE HCL 10 MG PO TABS [5005],6,6,,,,,,,,,,,,,,,,,,
51079-935-01,,51079-935-01,,,,,TRIAMTERENE-HCTZ 37.5-25 MG PO CAPS [12729],6,6,,,,,,,,,,,,,,,,,,
51079-935-20,,51079-935-20,,,,,TRIAMTERENE-HCTZ 37.5-25 MG PO CAPS [12729],6,6,,,,,,,,,,,,,,,,,,
51079-936-01,,51079-936-01,,,,,TERAZOSIN HCL 1 MG PO CAPS [14550],6,6,,,,,,,,,,,,,,,,,,
51079-985-01,,51079-985-01,,,,,BUSPIRONE HCL 5 MG PO TABS [9324],6,6,,,,,,,,,,,,,,,,,,
51285-146-19,,51285-146-19,,,,,LEVONORGESTREL 1.5 MG PO TABS [114187],126.8,126.8,,,,,,,,,,,,,,,,,,
51293-810-01,,51293-810-01,,,,,PHENAZOPYRIDINE HCL 100 MG PO TABS [6193],8.8,8.8,,,,,,,,,,,,,,,,,,
5145,250,,,,,,CHERRY PO SYRP [1562],53.9,53.9,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
5148,250,,,,,,LEVOTHYROXINE SODIUM 25 MCG PO TABS [4420],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
5161,636,J2680,,,,,FLUPHENAZINE DECANOATE 25 MG/ML IJ SOLN [3215],304.2,304.2,,,,,,,,,,,,,,,,,,
51672-1275-1,,51672-1275-1,,,,,CLOTRIMAZOLE 1 % EX CREA [1767],64.8,64.8,,,,,,,,,,,,,,,,,,
51672-1298-1,,51672-1298-1,,,,,KETOCONAZOLE 2 % EX CREA [10368],426.9,426.9,,,,,,,,,,,,,,,,,,
51672-1312-0,,51672-1312-0,,,,,MUPIROCIN 2 % EX OINT [10674],81.3,81.3,,,,,,,,,,,,,,,,,,
51672-4047-9,,51672-4047-9,,,,,CARBAMAZEPINE 100 MG/5ML PO SUSP [1356],288.2,288.2,,,,,,,,,,,,,,,,,,
51672-4069-1,,51672-4069-1,,,,,PHENYTOIN 125 MG/5ML PO SUSP [6255],120.2,120.2,,,,,,,,,,,,,,,,,,
51672-5296-1,,51672-5296-1,,,,,PROMETHAZINE HCL 12.5 MG RE SUPP [11143],57.6,57.6,,,,,,,,,,,,,,,,,,
51754-0203-2,,51754-0203-2,,,,,VERAPAMIL HCL 2.5 MG/ML IV SOLN [8527],125.4,125.4,,,,,,,,,,,,,,,,,,
5186,636,J3480,,,,,POTASSIUM CHLORIDE 2 MEQ/ML IV SOLN [6429],31,31,1.91,1.91,,,,,,,,,,,1.91,,,,,
5198,250,,,,,,LEVOTHYROXINE SODIUM 75 MCG PO TABS [4422],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
51991-144-99,,J2210,,,,,METHYLERGONOVINE MALEATE 0.2 MG/ML IJ SOLN [10571],77.1,77.1,,,,,,,,,,,,,,,,,,
5202,250,,,,,,ARTIFICIAL TEARS OPHTHALMIC SOLN [901057],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
